AreaCode,borough,Re2000,Re2001,Re2002,Re2003,Re2004,Re2005,Re2006,Re2007,Re2008,Re2009,Re2010,Re2011,Re2012,Off2000,Off2001,Off2002,Off2003,Off2004,Off2005,Off2006,Off2007,Off2008,Off2009,Off2010,Off2011,Off2012,In2000,In2001,In2002,In2003,In2004,In2005,In2006,In2007,In2008,In2009,In2010,In2011,In2012,Oth2000,Oth2001,Oth2002,Oth2003,Oth2004,Oth2005,Oth2006,Oth2007,Oth2008,Oth2009,Oth2010,Oth2011,Oth2012,SPD2000,SPD2001,SPD2002,SPD2003,SPD2004,SPD2005,SPD2006,SPD2007,SPD2008,SPD2009,SPD2010,SPD2011,SPD2012
E09000001,City of London,5.097780708,4.714587738,4.715447154,4.717169698,4.969191016,4.818560381,4.80015674,4.857316333,4.83507478,4.865403789,4.769984917,4.756637168,5.079537238,89.40892112,90.27484144,90.40650407,90.8255047,90.67779765,90.52151497,90.55642633,90.38656142,90.5552141,90.62811565,90.49773756,90.57890855,90.38322487,2.702702703,2.45243129,2.520325203,2.338596842,2.246074339,2.37953599,2.370689655,2.448896984,2.21266134,2.173479561,1.979638009,1.954277286,1.916124367,2.790595474,2.558139535,2.357723577,2.118728763,2.106936991,2.280388658,2.272727273,2.307225258,2.397049785,2.333000997,2.752639517,2.710176991,2.621113521,1.244549717,1.221846692,1.218400432,1.207513335,1.21114644,1.215328861,1.2144333,1.218821867,1.214437259,1.212518858,1.215940112,1.213838458,1.218699114
E09000002,Barking and Dagenham,18.26923077,18.63260706,18.71212121,19.06841339,18.57344633,18.534179,18.03731859,18.10406272,17.97593772,18.33810888,18.56417694,18.29971182,18.33333333,7.618343195,7.362885049,8.03030303,6.695778748,6.638418079,6.765327696,6.772633034,7.056307912,7.077140835,7.163323782,7.396664249,7.42074928,7.31884058,68.86094675,68.51990984,67.5,69.1411936,69.49152542,69.13319239,69.66136835,68.99501069,68.93135173,68.26647564,67.51269036,67.21902017,67.24637681,5.25147929,5.484598047,5.757575758,5.094614265,5.296610169,5.567300916,5.528680028,5.844618674,6.01556971,6.232091691,6.526468455,7.060518732,7.101449275,1.937529414,1.950669525,1.998389727,1.917583199,1.906153328,1.923195799,1.903135734,1.933480672,1.937632046,1.965891736,2.000041018,2.016863166,2.01524236
E09000003,Barnet,41.14583333,41.83135705,42.36157438,41.59581426,41.91033138,42.10866753,42.25806452,41.6988417,41.88752424,42.44224422,42.85714286,42.82855237,43.03112314,20.83333333,21.21212121,21.81454303,25.89928058,25.66601689,24.70892626,24.51612903,24.51737452,24.6929541,23.82838284,23.87566138,24.08272181,24.08660352,28.64583333,27.33860343,26.0173449,23.67560497,23.91163093,24.12677878,23.93548387,24.58172458,24.17582418,24.15841584,23.14814815,22.94863242,22.86874154,9.375,9.617918314,9.806537692,8.829300196,8.512020793,9.055627426,9.290322581,9.202059202,9.243697479,9.570957096,10.11904762,10.1400934,10.0135318,3.294369973,3.289776572,3.285747291,3.290041529,3.268571074,3.281080205,3.282991848,3.301600409,3.295736573,3.284753796,3.28405738,3.285449428,3.273223651
E09000004,Bexley,24.64261402,23.98671096,22.76621787,22.62816735,22.91057861,21.74167154,22.3660977,22.47058824,22.56349675,22.53104672,22.65625,22.49848393,23.64864865,9.1218516,9.102990033,8.323133415,8.131997643,8.416130918,8.649912332,8.946439082,8.764705882,8.860011813,8.693081017,8.954326923,8.914493633,9.275184275,61.0619469,61.86046512,64.19828641,64.64348851,64.05610754,64.75745178,63.566804,63.58823529,63.43768458,63.51271437,62.98076923,63.06852638,61.48648649,5.173587474,5.049833887,4.712362301,4.596346494,4.617182934,4.850964348,5.120659211,5.176470588,5.138806852,5.263157895,5.408653846,5.518496058,5.58968059,2.24931701,2.217076291,2.11362798,2.092895095,2.118541209,2.098820582,2.151814461,2.149609872,2.155935189,2.152952904,2.178973727,2.176874163,2.243601161
E09000005,Brent,21.6893039,21.66525064,21.0373444,21.68312581,21.21857691,21.30509939,21.25269978,20.62799826,20.69572875,20.1598579,20.60660125,20.90545939,21.25389062,10.56876061,10.91758709,10.29045643,11.24946329,11.24840222,11.79775281,12.0950324,11.42607937,11.62483487,11.58969805,12.22123104,12.56102974,12.31658515,63.20033956,62.99915038,64.43983402,62.73078574,63.31487005,62.57562662,62.41900648,63.71565635,63.27608983,63.76554174,62.39964318,61.78428762,61.76078257,4.541595925,4.418011895,4.232365145,4.336625161,4.218150831,4.321521175,4.233261339,4.230266027,4.403346543,4.484902309,4.772524532,4.749223258,4.668741663,2.17531583,2.184842685,2.119152091,2.197480464,2.172345119,2.208734792,2.216302268,2.158126062,2.180215297,2.161274458,2.226931955,2.254958701,2.252446273
E09000006,Bromley,39.11342894,39.11368015,39.45666235,39.6763754,39.73941368,39.76143141,39.37994723,39.6814864,40.15957447,40.35904255,40.35202086,40.59662776,41.04234528,22.09908735,22.35067437,21.28072445,20.51779935,19.6742671,20.60967528,20.44854881,20.1725282,20.34574468,20.4787234,19.88265971,19.5849546,19.21824104,29.98696219,29.35131663,29.8835705,30.55016181,30.87947883,29.82107356,30.47493404,30.3915063,30.25265957,29.78723404,30.44328553,30.54474708,30.35830619,8.800521512,9.184328838,9.379042691,9.25566343,9.706840391,9.807819748,9.696569921,9.754479098,9.242021277,9.375,9.322033898,9.273670558,9.381107492,3.339012921,3.361023343,3.343708118,3.3176579,3.31778096,3.343117636,3.342616375,3.332950294,3.303187217,3.307534164,3.292398184,3.278001572,3.264296906
E09000007,Camden,17.88405797,18.15602837,18.38256381,18.19732727,18.24420932,18.03231391,17.96060255,18.43251089,18.79094699,19.06614786,18.88361045,19.09979272,18.57684456,54.89855072,56.25531915,56.6676226,58.31674723,59.39376609,59.31909983,59.61761298,59.85486212,60.36331149,61.17928764,61.01543943,61.38584542,62.32137649,16.86956522,15.4893617,14.88385432,13.93232869,13.66885902,13.76226197,13.47045191,12.74310595,11.79273377,11.01466627,10.48099762,10.00888362,9.740449111,10.34782609,10.09929078,10.06595928,9.553596815,8.69316557,8.886324293,8.951332561,8.969521045,9.053007743,8.739898234,9.619952494,9.505478235,9.361329834,2.684311443,2.606733825,2.582650792,2.489192721,2.425489297,2.431737148,2.4163797,2.400844502,2.370873581,2.32334886,2.335428545,2.312910963,2.266769806
E09000008,Croydon,31.66666667,31.10850898,30.49590004,30.75098814,30.96926714,31.52903991,31.92169397,31.92697769,32.0360508,32.38374529,32.6898867,32.92268479,33.27659574,30.15873016,30.0156128,30.3006638,30.51383399,30.535855,29.67206638,28.60567319,27.8296146,27.98033593,28.06870549,27.48636173,27.48513169,27.23404255,33.88888889,33.52849336,33.81491605,33.24110672,32.82111899,33.10944291,33.55972833,34.19878296,34.04342483,33.38919145,33.48720101,33.26253186,33.0212766,4.285714286,5.347384856,5.388520109,5.494071146,5.673758865,5.68945081,5.912904515,6.044624746,5.940188447,6.158357771,6.336550567,6.329651657,6.468085106,3.247648544,3.309690302,3.310584276,3.320192752,3.332276625,3.329873661,3.335004293,3.333429339,3.329506219,3.345239416,3.349328299,3.349190462,3.354279994
E09000009,Ealing,16.73456597,16.52254478,16.32528279,16.63046851,16.41837368,16.19256018,16.29513344,16.55629139,16.41979199,16.59777424,16.60866814,16.81557116,16.76761237,13.82011908,14.17541692,13.72668909,13.99317406,13.78026071,13.50422007,14.00313972,14.44339325,14.59186889,14.27662957,13.9829168,14.23101468,14.0898948,65.37135694,65.19456455,65.85142158,65.40490226,65.79764122,66.20819006,65.58869702,64.6799117,64.73369051,64.70588235,64.88453021,64.45437141,64.23334396,4.073958007,4.107473749,4.096606542,3.971455166,4.003724395,4.095029697,4.113029827,4.320403658,4.254648598,4.419713831,4.523884847,4.499042757,4.909148868,2.100375768,2.10919758,2.07981119,2.098215319,2.081244294,2.064044552,2.091869255,2.134526729,2.131703039,2.13415588,2.126828023,2.145972209,2.159967085
E09000010,Enfield,21.86915888,22.22222222,22.4332881,22.55877034,23.05209774,24.56715021,24.7883349,24.80441786,25.18181818,25.85568918,26.04846226,26.07476636,26.43356643,8.738317757,8.916323731,9.000452284,9.04159132,9.128630705,9.031352363,9.031044214,8.973768983,8.954545455,9.389454209,9.552656104,9.53271028,9.417249417,64.71962617,64.28898034,63.90773406,63.69801085,62.84001844,61.25409453,60.95954845,61.02162908,60.72727273,59.52821462,59.27306617,59.1588785,58.92773893,4.672897196,4.572473708,4.658525554,4.701627486,4.979253112,5.147402901,5.221072437,5.200184077,5.136363636,5.226641998,5.125815471,5.23364486,5.221445221,2.098598765,2.115368609,2.13212302,2.141240332,2.17941275,2.240308959,2.252583315,2.248975634,2.258105151,2.310747132,2.320537743,2.326701486,2.332546528
E09000011,Greenwich,27.63063708,27.48251748,27.32394366,26.03878116,26.84745763,26.05775688,25.46174142,25.51087673,26.41129032,27.11511789,27.71855011,28.125,28.94736842,9.377236936,9.160839161,9.436619718,9.279778393,9.423728814,9.738079248,10.09234828,9.953856295,9.072580645,9.639389736,9.523809524,10.82848837,11.65413534,55.69076593,55.94405594,55.14084507,56.7867036,55.86440678,55.9435863,55.93667546,56.09756098,55.91397849,54.50762829,53.02061123,50.65406977,48.79699248,7.301360057,7.412587413,8.098591549,7.894736842,7.86440678,8.260577569,8.509234828,8.437705999,8.602150538,8.737864078,9.73702914,10.39244186,10.60150376,2.496158446,2.485155181,2.536945751,2.468411134,2.504838418,2.517776211,2.530700875,2.520151562,2.512412599,2.580259445,2.656031266,2.791651185,2.884082357
